,term_weight,term_selecting,classifier,precision,accuracy,sensitivity,specificity
46,LENGTH,ANOVA,RANDOM_FOREST,0.92,0.8666666666666667,0.8666666666666667,0.9583333333333334
47,LENGTH,ANOVA,NAIVE_BAYES,0.6755555555555557,0.8,0.8,0.9391025641025641
48,LENGTH,ANOVA,LOGISTIC_REGRESSION,0.9055555555555556,0.8666666666666667,0.8666666666666667,0.9599358974358974
49,LENGTH,ANOVA,GRADIENT_BOOSTING,1.0,1.0,1.0,1.0
50,LENGTH,CHI2,SVM,0.92,0.8666666666666667,0.8666666666666667,0.9583333333333334
51,LENGTH,CHI2,RANDOM_FOREST,0.92,0.8666666666666667,0.8666666666666667,0.9583333333333334
52,LENGTH,CHI2,NAIVE_BAYES,0.6755555555555557,0.8,0.8,0.9391025641025641
53,LENGTH,CHI2,LOGISTIC_REGRESSION,0.9055555555555556,0.8666666666666667,0.8666666666666667,0.9599358974358974
54,LENGTH,CHI2,GRADIENT_BOOSTING,0.95,0.9333333333333333,0.9333333333333333,0.9791666666666666
55,LENGTH,MUTUAL_INFO,SVM,0.9055555555555556,0.8666666666666667,0.8666666666666667,0.9599358974358974
56,LENGTH,MUTUAL_INFO,RANDOM_FOREST,0.8916666666666667,0.8666666666666667,0.8666666666666667,0.9479166666666666
57,LENGTH,MUTUAL_INFO,NAIVE_BAYES,0.6222222222222222,0.5333333333333333,0.5333333333333333,0.8557692307692308
58,LENGTH,MUTUAL_INFO,LOGISTIC_REGRESSION,0.9055555555555556,0.8666666666666667,0.8666666666666667,0.9599358974358974
59,LENGTH,MUTUAL_INFO,GRADIENT_BOOSTING,0.95,0.9333333333333333,0.9333333333333333,0.9791666666666666
